"","Name of the ecoregion / ID","Number of species (and observations)","Plant Richness","Lat (min; max)","Lon (min; max)","Area"
"72","Junggar Basin semi-desert/ 81317","127 (377)","1200","47 (44;48)","87 (83;90)","304938"
"73","Baltic mixed forests/ 80405","126 (842)","1700","53.5 (53;56)","12.7 (10;19)","117107"
"74","West Siberian taiga/ 80611","126 (163)","900","56.5 (55;66)","61.5 (60;90)","1680245"
"75","Talamancan montane forests/ 60167","125 (1366)","8500","9.6 (9;10)","-83.7 (-85;-82)","16274"
"76","Montane fynbos and renosterveld/ 31203","124 (3078)","6300","-33.9 (-35;-30)","19.2 (18;23)","45780"
"77","Changjiang Plain evergreen forests/ 80415","123 (253)","3000","30.3 (29;32)","119.4 (113;122)","437582"
"78","Valdivian temperate forests/ 60404","120 (579)","800","-39.6 (-46;-33)","-71.4 (-74;-70)","248398"
"79","Serra do Mar coastal forests/ 60160","118 (149)","9000","-23.3 (-26;-22)","-44.8 (-49;-42)","104610"
"80","South Western Ghats montane rain forests/ 40151","118 (120)","3300","12 (10;12)","76 (76;77)","22545"
"81","Esperance mallee/ 11202","117 (158)","2900","-34.3 (-35;-33)","119.2 (118;122)","115461"
"82","Alto Paraná Atlantic forests/ 60150","116 (305)","6500","-22.9 (-28;-20)","-48.3 (-55;-47)","482879"
"83","Cantabrian mixed forests/ 80406","115 (878)","2000","43.2 (42;44)","-5 (-9;-5)","79846"
"84","Iberian conifer forests/ 81208","114 (114)","3200","37 (37;41)","-3 (-4;-3)","34461"
"85","Luzon rain forests/ 40123","114 (140)","5000","14.2 (14;14)","121.2 (121;121)","94877"
"86","Negro-Branco moist forests/ 60143","113 (263)","6500","1.9 (0;2)","-67 (-67;-66)","200932"
"87","Pyrenees conifer and mixed forests/ 80433","112 (2177)","3300","42.8 (42;43)","1.3 (-1;3)","25930"
"88","Solimões-Japurá moist forests/ 60163","112 (186)","7000","-3.3 (-4;-3)","-72.8 (-73;-70)","166931"
"89","Solomon Islands rain forests/ 10119","110 (191)","4800","-6.1 (-8;-6)","155.2 (155;159)","35700"
"90","California Central Valley grasslands/ 50801","108 (136)","1682","37 (37;39)","-120 (-122;-120)","55084"
"91","Tamaulipan matorral/ 51311","108 (109)","1900","24.8 (25;25)","-99.5 (-100;-100)","16237"
"92","Patagonian steppe/ 60805","107 (132)","1200","-41.1 (-52;-37)","-70.5 (-72;-66)","576599"
"93","Eastern Great Lakes lowland forests/ 50407","106 (6492)","1381","44 (43;46)","-76 (-81;-73)","116673"
"94","Chocó-Darién moist forests/ 60115","103 (111)","9000","4 (4;9)","-77 (-78;-77)","73305"
"95","Murray-Darling woodlands and mallee/ 11207","103 (214)","1100","-33 (-34;-32)","145.4 (139;146)","197880"
"96","Ethiopian montane grasslands and woodlands/ 31007","101 (117)","2000","7.1 (7;12)","35.9 (36;42)","244349"
"97","Madagascar lowland forests/ 30117","99 (2279)","6000","-21.4 (-22;-19)","47.7 (48;49)","111760"
"98","Pamir alpine desert and tundra/ 81014","99 (100)","900","37.5 (38;38)","75.5 (74;76)","118072"
"99","Southwest Australia savanna/ 11209","99 (119)","1900","-29.8 (-33;-27)","115.3 (114;118)","168704"
"100","Guizhou Plateau broadleaf and mixed forests/ 80101","96 (417)","3500","27.7 (26;28)","106.9 (106;110)","269132"
"101","Lowland fynbos and renosterveld/ 31202","96 (528)","3000","-33.7 (-35;-32)","18.9 (18;20)","32744"
"102","Sahara desert/ 81327","96 (194)","500","25 (25;28)","13 (-5;32)","4629416"
"103","Upper Gangetic Plains moist deciduous forests/ 40166","95 (181)","2100","25.3 (25;30)","83 (78;84)","262643"
"104","Hainan Island monsoon rain forests/ 40169","93 (167)","3000","19.1 (19;19)","109.8 (109;110)","15489"
"105","Northeast China Plain deciduous forests/ 80430","92 (156)","1800","43.8 (40;47)","123.4 (120;127)","232909"
"106","Isthmian-Pacific moist forests/ 60130","91 (701)","6500","9.4 (9;9)","-84 (-84;-83)","29176"
"107","Appalachian-Blue Ridge forests/ 50403","90 (623)","2398","38.9 (35;41)","-79.7 (-84;-78)","159343"
"108","Qionglai-Minshan conifer forests/ 80518","90 (100)","5000","30.7 (30;31)","103.5 (103;104)","80134"
"109","Central European mixed forests/ 80412","89 (793)","2300","51.5 (48;54)","13.2 (11;34)","733978"
"110","Karakoram-West Tibetan Plateau alpine steppe/ 81006","88 (93)","1500","34 (34;34)","77 (77;77)","143265"
"111","Sundaland heath forests/ 40161","88 (135)","1600","0.7 (1;1)","116.8 (117;117)","76205"
"112","Nansei Islands subtropical evergreen forests/ 40170","86 (100)","2000","26.8 (26;30)","128.2 (128;131)","4064"
"113","Espinal/ 60801","85 (113)","700","-31.4 (-39;-31)","-64.2 (-65;-62)","298735"
"114","Fiji tropical moist forests/ 70105","85 (204)","1450","-16.6 (-17;-16)","179.3 (179;180)","11572"
"115","Fiordland temperate forests/ 10403","83 (112)","750","-45.6 (-46;-45)","167.6 (167;168)","11054"
"116","California interior chaparral and woodlands/ 51202","82 (123)","2105","37.8 (35;39)","-122.2 (-123;-120)","64627"
"117","Colorado Plateau shrublands/ 51304","82 (528)","2556","38.7 (34;39)","-107.7 (-113;-106)","326501"
"118","Westland temperate forests/ 10414","80 (110)","700","-43.4 (-44;-43)","170.2 (169;171)","5287"
"119","Arabian Desert and East Sahero-Arabian xeric shrublands/ 81303","77 (85)","900","23.3 (23;31)","44.9 (35;45)","1847461"
"120","Simpson desert/ 11308","77 (79)","800","-29.4 (-29;-29)","142 (142;142)","583394"
"121","Northern California coastal forests/ 50519","74 (159)","1212","37.4 (37;39)","-122.2 (-123;-122)","13287"
"122","Northeast Siberian taiga/ 80605","70 (116)","800","60 (60;62)","151 (150;151)","1133262"
"123","South Island temperate forests/ 10410","70 (90)","650","-45.9 (-47;-46)","167.7 (167;169)","11714"
"124","Caatinga/ 61304","69 (365)","1500","-15.9 (-16;-8)","-43.9 (-44;-36)","731320"
"125","Lord Howe Island subtropical forests/ 10109","69 (117)","210","-31.5 (-32;-32)","159.1 (159;159)","14"
"126","Western Great Lakes forests/ 50416","69 (236)","1459","45.9 (46;48)","-89.7 (-95;-85)","274721"
"127","Northern Congolian forest-savanna mosaic/ 30712","65 (101)","2500","4.8 (5;5)","11.2 (11;11)","705006"
"128","Southwest Iberian Mediterranean sclerophyllous and mixed forests/ 81221","65 (116)","2600","37 (36;40)","-6 (-9;-6)","71123"
"129","Brooks-British Range tundra/ 51108","64 (255)","593","67.5 (68;69)","-152.5 (-152;-149)","160646"
"130","Gissaro-Alai open woodlands/ 80808","64 (67)","3500","41.2 (39;41)","69.9 (69;70)","168170"
"131","Appalachian mixed mesophytic forests/ 50402","63 (833)","2487","38.4 (38;40)","-81.8 (-83;-80)","192264"
"132","Jarrah-Karri forest and shrublands/ 11204","62 (78)","2200","-34.7 (-35;-34)","116.3 (115;118)","10443"
"133","Ordos Plateau steppe/ 81013","62 (214)","1100","39.8 (37;40)","109.2 (108;110)","215604"
"134","Tirari-Sturt stony desert/ 11309","62 (536)","800","-31.2 (-33;-30)","142.6 (138;143)","376487"
"135","Changbai Mountains mixed forests/ 80414","61 (93)","2500","42.2 (42;42)","128.1 (128;128)","93438"
"136","Eastern Australia mulga shrublands/ 10802","61 (72)","800","-30.3 (-32;-30)","144.9 (143;145)","253515"
"137","Panamanian dry forests/ 60224","61 (148)","1900","9 (9;9)","-79.6 (-80;-80)","5087"
"138","Mojave desert/ 51308","60 (526)","2490","35 (34;37)","-115.7 (-118;-114)","130647"
"139","Sonoran desert/ 51310","60 (791)","2700","32.2 (29;33)","-111 (-115;-111)","222843"
"140","Taklimakan desert/ 81330","60 (193)","400","38.8 (37;43)","81 (76;94)","742657"
"141","Aegean and Western Turkey sclerophyllous and mixed forests/ 81201","59 (98)","2500","40.8 (38;41)","23.2 (23;24)","133558"
"142","Costa Rican seasonal moist forests/ 60119","58 (405)","3300","9.7 (10;11)","-84 (-85;-84)","10900"
"143","Drakensberg montane grasslands, woodlands and forests/ 31004","57 (102)","3700","-29.4 (-32;-22)","29.2 (27;32)","201962"
"144","Low Monte/ 60802","56 (65)","700","-39.1 (-43;-32)","-68 (-70;-65)","353640"
"145","Canary Islands dry woodlands and forests/ 81203","53 (94)","1130","28.3 (28;29)","-16.4 (-17;-15)","4967"
"146","North Atlantic moist mixed forests/ 80429","53 (101)","600","57.3 (56;57)","-7.4 (-7;-6)","38835"
"147","Registan-North Pakistan sandy desert/ 81326","53 (53)","700","31.7 (32;32)","66.4 (66;66)","276999"
"148","Southern Great Lakes forests/ 50414","52 (64)","2243","43.2 (40;44)","-77.6 (-86;-78)","244828"
"149","Swan Coastal Plain Scrub and Woodlands/ 11205","51 (64)","2300","-31 (-33;-30)","115.6 (116;116)","15214"
"150","Araucaria moist forests/ 60101","49 (49)","4500","-29.5 (-29;-25)","-50.2 (-50;-49)","215673"
"151","California coastal sage and chaparral/ 51201","49 (95)","1650","34.1 (33;34)","-118.7 (-119;-117)","36249"
"152","English Lowlands beech forests/ 80421","48 (444)","1300","52.2 (51;52)","0.1 (-3;1)","45770"
"153","Borneo montane rain forests/ 40103","46 (61)","4000","2.6 (3;3)","115.7 (116;116)","115078"
"154","Chao Phraya freshwater swamp forests/ 40107","46 (74)","1100","14 (14;14)","100.9 (100;102)","38858"
"155","Alashan Plateau semi-desert/ 81302","44 (234)","700","39.9 (40;44)","102.8 (99;107)","674352"
"156","Appenine deciduous montane forests/ 80401","44 (703)","2500","42.5 (42;44)","13.2 (11;14)","16147"
"157","Fiji tropical dry forests/ 70201","44 (60)","500","-16.5 (-17;-16)","179 (179;180)","6890"
"158","North Island temperate forests/ 10405","44 (85)","1200","-40.3 (-41;-39)","175.6 (175;177)","84500"
"159","Ussuri broadleaf and mixed forests/ 80443","44 (44)","1800","44.1 (43;44)","134.8 (134;135)","197954"
"160","Eastern forest-boreal transition/ 50406","43 (187)","1228","44.6 (44;47)","-76.3 (-84;-74)","348614"
"161","Albertine Rift montane forests/ 30101","42 (42)","3500","0.6 (-3;1)","30.4 (29;30)","103404"
"162","East African mangroves/ 31402","42 (57)","200","-18.6 (-19;-19)","36.1 (36;36)","16013"
"163","Hokkaido deciduous forests/ 80423","42 (114)","1200","43 (43;43)","141.6 (141;142)","25583"
"164","East European forest steppe/ 80419","41 (4030)","1900","51.2 (50;57)","41.7 (36;57)","730128"
"165","Ethiopian montane forests/ 30112","41 (68)","4000","7 (6;8)","37 (35;39)","247734"
"166","Middle Atlantic coastal forests/ 50517","41 (112)","1488","35.3 (33;36)","-78.1 (-81;-77)","133597"
"167","Biak-Numfoor rain forests/ 10103","40 (47)","1500","-1.2 (-1;-1)","136.3 (136;136)","2810"
