"","V1","V2"
"27","observation.count.Led15N","Leaf delta 15N (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"28","observation.count.SenbU","Seeds per dispersal unit (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"29","observation.count.LeFMass","Leaf fresh mass (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"30","observation.count.ConduitDens","Conduit density (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"31","observation.count.VesLen","Vessel element lenth (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"32","observation.count.DispULen","Dispersal unit lenth (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"33","observation.count.tot.3","Number of observed samples for all of traits of this ecoregion."
"34","LeArea","Leaf area (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"35","SSD","Stem specific density (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"36","SLA","Specific leaf area (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"37","LeC","Leaf carbon concentration (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"38","LeN","Leaf nitrogen concentration (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"39","LeP","Leaf phosphorous concentration (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"40","PlantHeight","Plant height (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"41","SeedMass","Seed mass (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"42","SeLen","Seed length (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"43","LeNArea","Leaf nitrogen per leaf area (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"44","LeNP","Leaf nitrogen/phosphorous concentration ratio (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"45","Led15N","Leaf delta 15N (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"46","SenbU","Seeds per dispersal unit (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"47","LeFMass","Leaf fresh mass (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"48","ConduitDens","Conduit density (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"49","DispULen","Dispersal unit lenth (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"50","VesLen","Vessel element lenth (ecoregion median; TRY-db.org, see Supplement Tab.5), obs: as observed, pred: from BHPMF, gf: combination of observed and predicted."
"51","AWCh1_M_sl1_1km_ll.tif","Available water capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"52","AWCh1_M_sl2_1km_ll.tif","Available water capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"53","AWCh1_M_sl3_1km_ll.tif","Available water capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"54","AWCh1_M_sl4_1km_ll.tif","Available water capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"55","AWCh1_M_sl5_1km_ll.tif","Available water capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"56","AWCh1_M_sl6_1km_ll.tif","Available water capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"57","AWCh1_M_sl7_1km_ll.tif","Available water capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"58","AWCh2_M_sl1_1km_ll.tif","Available water capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"59","AWCh2_M_sl2_1km_ll.tif","Available water capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"60","AWCh2_M_sl3_1km_ll.tif","Available water capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"61","AWCh2_M_sl4_1km_ll.tif","Available water capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"62","AWCh2_M_sl5_1km_ll.tif","Available water capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"63","AWCh2_M_sl6_1km_ll.tif","Available water capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"64","AWCh2_M_sl7_1km_ll.tif","Available water capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"65","AWCh3_M_sl1_1km_ll.tif","Available water capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"66","AWCh3_M_sl2_1km_ll.tif","Available water capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"67","AWCh3_M_sl3_1km_ll.tif","Available water capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"68","AWCh3_M_sl4_1km_ll.tif","Available water capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"69","AWCh3_M_sl5_1km_ll.tif","Available water capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"70","AWCh3_M_sl6_1km_ll.tif","Available water capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"71","AWCh3_M_sl7_1km_ll.tif","Available water capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"72","AWCtS_M_sl1_1km_ll.tif","Saturated water content (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"73","AWCtS_M_sl2_1km_ll.tif","Saturated water content (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"74","AWCtS_M_sl3_1km_ll.tif","Saturated water content (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"75","AWCtS_M_sl4_1km_ll.tif","Saturated water content (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"76","AWCtS_M_sl5_1km_ll.tif","Saturated water content (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"77","AWCtS_M_sl6_1km_ll.tif","Saturated water content (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"78","AWCtS_M_sl7_1km_ll.tif","Saturated water content (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"79","BLDFIE_M_sl1_1km_ll.tif","Bulk density (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"80","BLDFIE_M_sl2_1km_ll.tif","Bulk density (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"81","BLDFIE_M_sl3_1km_ll.tif","Bulk density (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"82","BLDFIE_M_sl4_1km_ll.tif","Bulk density (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"83","BLDFIE_M_sl5_1km_ll.tif","Bulk density (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"84","BLDFIE_M_sl6_1km_ll.tif","Bulk density (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"85","BLDFIE_M_sl7_1km_ll.tif","Bulk density (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"86","CECSOL_M_sl1_1km_ll.tif","Cation exchange capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"87","CECSOL_M_sl2_1km_ll.tif","Cation exchange capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"88","CECSOL_M_sl3_1km_ll.tif","Cation exchange capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"89","CECSOL_M_sl4_1km_ll.tif","Cation exchange capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"90","CECSOL_M_sl5_1km_ll.tif","Cation exchange capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"91","CECSOL_M_sl6_1km_ll.tif","Cation exchange capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"92","CECSOL_M_sl7_1km_ll.tif","Cation exchange capacity (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"93","CLYPPT_M_sl1_1km_ll.tif","Weight percentage of the Clay particles (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"94","CLYPPT_M_sl2_1km_ll.tif","Weight percentage of the Clay particles (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"95","CLYPPT_M_sl3_1km_ll.tif","Weight percentage of the Clay particles (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"96","CLYPPT_M_sl4_1km_ll.tif","Weight percentage of the Clay particles (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"97","CLYPPT_M_sl5_1km_ll.tif","Weight percentage of the Clay particles (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"98","CLYPPT_M_sl6_1km_ll.tif","Weight percentage of the Clay particles (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"99","CLYPPT_M_sl7_1km_ll.tif","Weight percentage of the Clay particles (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"100","CRFVOL_M_sl1_1km_ll.tif","Coarse fragments (> 2mm) (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"101","CRFVOL_M_sl2_1km_ll.tif","Coarse fragments (> 2mm) (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"102","CRFVOL_M_sl3_1km_ll.tif","Coarse fragments (> 2mm) (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"103","CRFVOL_M_sl4_1km_ll.tif","Coarse fragments (> 2mm) (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"104","CRFVOL_M_sl5_1km_ll.tif","Coarse fragments (> 2mm) (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"105","CRFVOL_M_sl6_1km_ll.tif","Coarse fragments (> 2mm) (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"106","CRFVOL_M_sl7_1km_ll.tif","Coarse fragments (> 2mm) (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"107","OCDENS_M_sl1_1km_ll.tif","Soil organic carbon density (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"108","OCDENS_M_sl2_1km_ll.tif","Soil organic carbon density (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"109","OCDENS_M_sl3_1km_ll.tif","Soil organic carbon density (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"110","OCDENS_M_sl4_1km_ll.tif","Soil organic carbon density (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"111","OCDENS_M_sl5_1km_ll.tif","Soil organic carbon density (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"112","OCDENS_M_sl6_1km_ll.tif","Soil organic carbon density (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"113","OCDENS_M_sl7_1km_ll.tif","Soil organic carbon density (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"114","OCSTHA_M_100cm_1km_ll.tif","Soil organic carbon stock (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"115","OCSTHA_M_200cm_1km_ll.tif","Soil organic carbon stock (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"116","OCSTHA_M_30cm_1km_ll.tif","Soil organic carbon stock (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"117","OCSTHA_M_sd1_1km_ll.tif","Soil organic carbon stock (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"118","OCSTHA_M_sd2_1km_ll.tif","Soil organic carbon stock (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"119","OCSTHA_M_sd3_1km_ll.tif","Soil organic carbon stock (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"120","OCSTHA_M_sd4_1km_ll.tif","Soil organic carbon stock (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"121","OCSTHA_M_sd5_1km_ll.tif","Soil organic carbon stock (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"122","OCSTHA_M_sd6_1km_ll.tif","Soil organic carbon stock (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"123","ORCDRC_M_sl1_1km_ll.tif","Soil organic carbon content (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"124","ORCDRC_M_sl2_1km_ll.tif","Soil organic carbon content (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"125","ORCDRC_M_sl3_1km_ll.tif","Soil organic carbon content (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"126","ORCDRC_M_sl4_1km_ll.tif","Soil organic carbon content (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"127","ORCDRC_M_sl5_1km_ll.tif","Soil organic carbon content (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"128","ORCDRC_M_sl6_1km_ll.tif","Soil organic carbon content (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"129","ORCDRC_M_sl7_1km_ll.tif","Soil organic carbon content (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"130","PHIKCL_M_sl1_1km_ll.tif","pH measured with KCl (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"131","PHIKCL_M_sl2_1km_ll.tif","pH measured with KCl (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"132","PHIKCL_M_sl3_1km_ll.tif","pH measured with KCl (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"133","PHIKCL_M_sl4_1km_ll.tif","pH measured with KCl (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"134","PHIKCL_M_sl5_1km_ll.tif","pH measured with KCl (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"135","PHIKCL_M_sl6_1km_ll.tif","pH measured with KCl (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"136","PHIKCL_M_sl7_1km_ll.tif","pH measured with KCl (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"137","SLTPPT_M_sl1_1km_ll.tif","Weight percentage of the Silt particles (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"138","SLTPPT_M_sl2_1km_ll.tif","Weight percentage of the Silt particles (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"139","SLTPPT_M_sl3_1km_ll.tif","Weight percentage of the Silt particles (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"140","SLTPPT_M_sl4_1km_ll.tif","Weight percentage of the Silt particles (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"141","SLTPPT_M_sl5_1km_ll.tif","Weight percentage of the Silt particles (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"142","SLTPPT_M_sl6_1km_ll.tif","Weight percentage of the Silt particles (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"143","SLTPPT_M_sl7_1km_ll.tif","Weight percentage of the Silt particles (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"144","SNDPPT_M_sl1_1km_ll.tif","Weight percentage of the Sand particles (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"145","SNDPPT_M_sl2_1km_ll.tif","Weight percentage of the Sand particles (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"146","SNDPPT_M_sl3_1km_ll.tif","Weight percentage of the Sand particles (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"147","SNDPPT_M_sl4_1km_ll.tif","Weight percentage of the Sand particles (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"148","SNDPPT_M_sl5_1km_ll.tif","Weight percentage of the Sand particles (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"149","SNDPPT_M_sl6_1km_ll.tif","Weight percentage of the Sand particles (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"150","SNDPPT_M_sl7_1km_ll.tif","Weight percentage of the Sand particles (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"151","WWP_M_sl1_1km_ll.tif","Available soil water capacity (vol) until wilting point (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"152","WWP_M_sl2_1km_ll.tif","Available soil water capacity (vol) until wilting point (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"153","WWP_M_sl3_1km_ll.tif","Available soil water capacity (vol) until wilting point (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"154","WWP_M_sl4_1km_ll.tif","Available soil water capacity (vol) until wilting point (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"155","WWP_M_sl5_1km_ll.tif","Available soil water capacity (vol) until wilting point (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"156","WWP_M_sl6_1km_ll.tif","Available soil water capacity (vol) until wilting point (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"157","WWP_M_sl7_1km_ll.tif","Available soil water capacity (vol) until wilting point (ecoregion median, SoilGrids), details in Supplement Tab 2 (Soil data)."
"158","AnnualMeanTemperature.nc","Temperature (ecoregion median, WorldClim), details in Supplement Tab 1 (Climate data)."
"159","MaxTemperatureofWarmestMonth.nc","Temperature (ecoregion median, WorldClim), details in Supplement Tab 1 (Climate data)."
"160","MinTemperatureofColdestMonth.nc","Temperature (ecoregion median, WorldClim), details in Supplement Tab 1 (Climate data)."
"161","TemperatureSeasonality.nc","Temperature (ecoregion median, WorldClim), details in Supplement Tab 1 (Climate data)."
"162","MeanDiurnalRange.nc","Diurnal temperature range (average, WorldClim), details in Supplement Tab 1 (Climate data)."
"163","AnnualPrecipitation.nc","Precipitation (ecoregion median, WorldClim), details in Supplement Tab 1 (Climate data)."
"164","PrecipitationofWettestMonth.nc","Precipitation (ecoregion median, WorldClim), details in Supplement Tab 1 (Climate data)."
"165","PrecipitationofDriestMonth.nc","Precipitation (ecoregion median, WorldClim), details in Supplement Tab 1 (Climate data)."
"166","PrecipitationSeasonality.nc","Precipitation (ecoregion median, WorldClim), details in Supplement Tab 1 (Climate data)."
"167","vapr.mean.nc","water vapor pressure (kPa) (ecoregion median, WorldClim), details in Supplement Tab 1 (Climate data)."
"168","vapr.max.nc","water vapor pressure (kPa) (ecoregion median, WorldClim), details in Supplement Tab 1 (Climate data)."
"169","vapr.min.nc","water vapor pressure (kPa) (ecoregion median, WorldClim), details in Supplement Tab 1 (Climate data)."
"170","vapr.sd.nc","water vapor pressure (kPa) (ecoregion median, WorldClim), details in Supplement Tab 1 (Climate data)."
"171","srad.mean.nc","Solar radiation (ecoregion median, WorldClim), details in Supplement Tab 1 (Climate data)."
"172","srad.max.nc","Solar radiation (ecoregion median, WorldClim), details in Supplement Tab 1 (Climate data)."
"173","srad.min.nc","Solar radiation (ecoregion median, WorldClim), details in Supplement Tab 1 (Climate data)."
"174","srad.sd.nc","Solar radiation (ecoregion median, WorldClim), details in Supplement Tab 1 (Climate data)."
"175","wind.mean.nc","Average wind speed (ecoregion median, WorldClim), details in Supplement Tab 1 (Climate data)."
"176","wind.max.nc","Average wind speed (ecoregion median, WorldClim), details in Supplement Tab 1 (Climate data)."
"177","wind.min.nc","Average wind speed (ecoregion median, WorldClim), details in Supplement Tab 1 (Climate data)."
"178","wind.sd.nc","Average wind speed (ecoregion median, WorldClim), details in Supplement Tab 1 (Climate data)."
